id,label,parent,label.en_US,label.de_CH,label.fr_FR,label.it_IT,enabled,type,attributes,attribute_as_label,attribute_as_image,attribute_requirements.ecommerce,Duplicate
,SportsEvent,Event,Sporting Event,Sportveranstaltung,Événement sportif,Evento sportivo,1,additinalTypes,,,,,
,StreetMarketEvent,Event,Street Market,Strassenmarkt,Marché de rue,Mercato di strada,1,additinalTypes,,,,,
,TechnologicalEvent,Event,Technology Events,Technologieveranstaltung,Événement technologique,Evento tecnologico,1,additinalTypes,,,,,
,TheaterEvent,Event,Theatre Event,Theateraufführung,Représentation théâtrale,Evento teatrale,1,additinalTypes,,,,,
,TraditionalEvent,Event,Traditional Event,Traditionelle Veranstaltung,Événement traditionnel,Evento tradizionale,1,additinalTypes,,,,,
,VariousEvent,Event,Various Events,Verschiedene Veranstaltungen,Divers événements,Eventi vari,1,additinalTypes,,,,,
,VisualArtsEvent,Event,Visual Arts Event,Bildende Kunst Veranstaltung,Événement en arts visuels,Evento di Arti Visive,1,additinalTypes,,,,,
,Place,,Place,Ort,Endroit,Luogo,1,additinalTypes,,,,,
,Accommodation,Place,Accommodation,Unterkunft,Hébergement,Alloggio,1,additinalTypes,,,,,
,Apartment,Accommodation,Apartment,Wohnung,Appartement,Appartamento,1,additinalTypes,,,,,
,CampingPitch,Accommodation,Camping Pitch,Camping Platz,Emplacement de camping,Piazzola campeggio,1,additinalTypes,,,,,
,House,Accommodation,House,Haus,Maison,Casa,1,additinalTypes,,,,,
,Room,Accommodation,Room,Zimmer,Chambre,Stanza,1,additinalTypes,,,,,
,Dormitory,Accommodation,Dormitory,Mehrbettzimmer,Dortoir,Dormitorio,1,additinalTypes,,,,,
,HotelRoom,Accommodation,Hotel Room,Hotelzimmer,Chambre d'hôtel,Camera d'hotel,1,additinalTypes,,,,,
,DoubleRoom,Accommodation,Double room,Doppelzimmer,Chambre double,Camera doppia,1,additinalTypes,,,,,
,FamilyRoom,Accommodation,Family room,Familienzimmer,Chambre familiale,Camera familiare,1,additinalTypes,,,,,
,SingleRoom,Accommodation,Single room,Einzelzimmer,Chambre simple,Camera singola,1,additinalTypes,,,,,
,MeetingRoom,Accommodation,Meeting Room,Besprechungsraum,Salle de réunion,Sala riunioni,1,additinalTypes,,,,,
,Suite,Accommodation,Suite,Suite,Suite,Suite,1,additinalTypes,,,,,
,CivicStructure,Place,Public Facility,Öffentliche Anlage/Einrichtung,Établissement public,Struttura pubbliche,1,additinalTypes,,,,,
,Alp,CivicStructure,Alp,Alm,Alpage,Alpe,1,additinalTypes,,,,,
,NaturePark,CivicStructure,Nature park,Naturpark,Parc naturel,Parco naturale,1,additinalTypes,,,,,
,Airport,CivicStructure,Airport,Flughafen,Aéroport,Aeroporto,1,additinalTypes,,,,,
,AnimalPark,CivicStructure,Animal park,Tierpark,Parc animalier,Parco degli animali,1,additinalTypes,,,,,
,Aquarium,CivicStructure,Aquarium,Aquarium,Aquarium,Acquario,1,additinalTypes,,,,,
,ArtObject,CivicStructure,Art Object,Kunstobjekt,Objet d'art,Oggetto d'arte,1,additinalTypes,,,,,
,ATM,CivicStructure,ATM,Geldautomat,Distributeur automatique de billets,Bancomat,1,additinalTypes,,,,,
,BathingSpot,CivicStructure,Bathing Spot,Badestelle,Lieu de baignade,Luogo di balneazione,1,additinalTypes,,,,,
,Beach,CivicStructure,Beach,Strand,Plage,Spiaggia,1,additinalTypes,,,,,
,Biotope,CivicStructure,Biotope,Biotop,Biotope,Biotopo,1,additinalTypes,,,,,
,BoatTerminal,CivicStructure,Boat Terminal,Bootsterminal,Terminal de bateaux,Terminal dei battelli,1,additinalTypes,,,,,
,Bunker,CivicStructure,Bunker,Bunker,Bunker,Bunker,1,additinalTypes,,,,,
,BusStop,CivicStructure,Bus Stop,Bushaltestelle,Arrêt de bus,Fermata dell'autobus,1,additinalTypes,,,,,
,Cave,CivicStructure,Cave,Höhle,Grotte,Grotta,1,additinalTypes,,,,,
,Cemetery,CivicStructure,Cemetery,Friedhof,Cimetière,Cimitero,1,additinalTypes,,,,,
,CityHall,CivicStructure,Town Hall,Rathaus,Hôtel de ville,Municipio,1,additinalTypes,,,,,
,ClubHouse,CivicStructure,Club House,Vereinsheim,Club-house,Club house,1,additinalTypes,,,,,
,ConcertHall,CivicStructure,Concert Hall,Konzertsaal,Salle de concert,Sala concerti,1,additinalTypes,,,,,
,CongressCenter,LocalBusiness,Congress center,Kongresszentrum,Centre des congrès,Centro congressi,1,additinalTypes,,,,,
,Court,CivicStructure,Court,Gericht,Cour,Tribunale,1,additinalTypes,,,,,
,Crematorium,CivicStructure,Crematorium,Krematorium,Crématorium,Crematorio,1,additinalTypes,,,,,
,CulturalCentre,CivicStructure,Cultural Centre,Kulturzentrum,Centre culturel,Centro culturale,1,additinalTypes,,,,,
,DamOrWeir,CivicStructure,Dam,Damm,Barrage,Diga,1,additinalTypes,,,,,
,EducationalOrganization,CivicStructure,Educational Institution,Bildungseinrichtung,Organisation éducative,Organizzazione educativa,1,additinalTypes,,,,,
,EventVenue,CivicStructure,Event Venue,Veranstaltungsort,Lieu de l'événement,Location per eventi,1,additinalTypes,,,,,
,Farm,CivicStructure,Farm,Bauernhof,Ferme,Fattoria,1,additinalTypes,,,,,
,Ferry,CivicStructure,Ferry,Fähre,Bac,Traghetto,1,additinalTypes,,,,,
,Fireplace,CivicStructure,Fireplace,Feuerstelle,Cheminée,Camino,1,additinalTypes,,,,,
,FireStation,CivicStructure,Fire Station,Feuerwehrstation,Caserne de pompiers,Stazione dei pompieri,1,additinalTypes,,,,,
,FootBridge,CivicStructure,Foot bridge,Fussbrücke,Passerelle piétonne,Ponte pedonale,1,additinalTypes,,,,,
,Forest,CivicStructure,Forest,Wald,Forêt,Foresta,1,additinalTypes,,,,,
,Forsthaus,CivicStructure,Forester's Lodge,Forsthaus,Maison forestière,Casa forestale,1,additinalTypes,,,,,
,Gallery,CivicStructure,Gallery,Galerie,Galerie,Galleria,1,additinalTypes,,,,,
,Garden,CivicStructure,Garden,Garten,Jardin,Giardino,1,additinalTypes,,,,,
,GlacierGarden,CivicStructure,Glacier Garden,Gletschergarten,Jardin des glaciers,Giardino glaciale,1,additinalTypes,,,,,
,GovernmentBuilding,CivicStructure,Government Building,Regierungsgebäude,Édifice du gouvernement,Palazzo del governo,1,additinalTypes,,,,,
,Harbour,CivicStructure,Harbour,Hafen,Port,Porto,1,additinalTypes,,,,,
,HerbGarden,CivicStructure,Herb Garden,Kräutergarten,Jardin d'herbes,Giardino delle erbe,1,additinalTypes,,,,,
,Hospital,CivicStructure,Hospital,Spital,Hôpital,Ospedale,1,additinalTypes,,,,,
,InfoPoint,CivicStructure,Info Point,Infopunkt,Point d'information,Punto informativo,1,additinalTypes,,,,,
,InternetPoint,CivicStructure,Public Internet Access,Öffentlicher Internetzugang,Accès public à Internet,Accesso pubblico a Internet,1,additinalTypes,,,,,
,LandingStage,CivicStructure,Landing Stage,Steg,Appontement,Pontile,1,additinalTypes,,,,,
,Lighthouse,CivicStructure,Lighthouse,Leuchtturm,Phare,Faro,1,additinalTypes,,,,,
,Mansion,CivicStructure,Mansion,Villa,Villa,Villa,1,additinalTypes,,,,,
,Market,CivicStructure,Market,Markt,Marché,Mercato,1,additinalTypes,,,,,
,MeetingPoint,CivicStructure,Meeting Point,Treffpunkt,Point de rencontre,Punto d'incontro,1,additinalTypes,,,,,
,Military,CivicStructure,Military,Militär,Militaire,Militare,1,additinalTypes,,,,,
,Mill,CivicStructure,Mill,Mühle,Moulin,Mulino,1,additinalTypes,,,,,
,Mine,CivicStructure,Mine,Mine,Mine,Miniera,1,additinalTypes,,,,,
,MountainRescue,CivicStructure,Mountain Rescue,Bergrettung,Sauvetage en montagne,Soccorso alpino,1,additinalTypes,,,,,
,Museum,CivicStructure,Museum,Museum,Musée,Museo,1,additinalTypes,,,,,
,MusicVenue,CivicStructure,Music Venue,Musikstätte,Lieu de musique,Sala di musica,1,additinalTypes,,,,,
,Observatory,CivicStructure,Observatory,Observatorium,Observatoire,Osservatorio,1,additinalTypes,,,,,
,OperaHouse,CivicStructure,Opera House,Opernhaus,Opéra,Teatro dell'opera,1,additinalTypes,,,,,
,OutdoorStage,CivicStructure,Open Air Stage,Freilichtbühne,Scène en plein air,Palcoscenico all'aperto,1,additinalTypes,,,,,
,ParkingFacility,CivicStructure,Car Park,Parkplatz,Parking,Parcheggio,1,additinalTypes,,,,,
,Pavillon,CivicStructure,Pavilion,Pavillon,Pavillon,Padiglione,1,additinalTypes,,,,,
,PedestrianArea,CivicStructure,Pedestrian Area,Fussgängerzone,Zone piétonne,Zona pedonale,1,additinalTypes,,,,,
,PerformingArtsTheater,CivicStructure,Performing Arts Theatre,Theater für darstellende Künste,Théâtre des arts de la scène,Teatro delle Arti dello spettacolo,1,additinalTypes,,,,,
,PicnicArea,CivicStructure,Picnic Area,Picknickplatz,Aire de pique-nique,Area picnic,1,additinalTypes,,,,,
,PlaceOfWorship,CivicStructure,Place Of Worship,Gebetsstätte,Lieu de culte,Luogo di preghiera,1,additinalTypes,,,,,
,BuddhistTemple,CivicStructure,Buddhist Temple,Buddhistischer Tempel,Temple bouddhiste,Tempio buddista,1,additinalTypes,,,,,
,Chapel,CivicStructure,Chapel,Kapelle,Chapelle,Cappella,1,additinalTypes,,,,,
,Church,CivicStructure,Church,Kirche,Église,Chiesa,1,additinalTypes,,,,,
,CatholicChurch,CivicStructure,Catholic Church,Katholische Kirche,Église catholique,Chiesa cattolica,1,additinalTypes,,,,,
,HinduTemple,CivicStructure,Hindu Temple,Hindu-Tempel,Temple hindou,Tempio indù,1,additinalTypes,,,,,
,Monastery,CivicStructure,Monastery,Kloster,Monastère,Monastero,1,additinalTypes,,,,,
,Mosque,CivicStructure,Mosque,Moschee,Mosquée,Moschea,1,additinalTypes,,,,,
,Synagogue,CivicStructure,Synagogue,Synagoge,Synagogue,Sinagoga,1,additinalTypes,,,,,
,Playground,CivicStructure,Playground,Spielplatz,Aire de jeux,Parco giochi,1,additinalTypes,,,,,
,PoliceStation,CivicStructure,Police Station,Polizeistation,Commissariat de police,Commissariato,1,additinalTypes,,,,,
,PublicToilet,CivicStructure,Public Toilet,Öffentliche Toilette,Toilettes publiques,Servizi igienici pubblici,1,additinalTypes,,,,,
,RecyclingPoint,CivicStructure,Recycling Point,Recyclingstelle,Point de recyclage,Punto di riciclaggio,1,additinalTypes,,,,,
,RVPark,CivicStructure,Caravan Park,Wohnmobilstellplatz,Aire pour caravanes,Area camper,1,additinalTypes,,,,,
,SaltCave,CivicStructure,Salt Cave,Salzhöhle,Grotte de sel,Grotta di sale,1,additinalTypes,,,,,
,Sbahn,CivicStructure,S-Bahn,S Bahn,S-Bahn,S-Bahn,1,additinalTypes,,,,,
,Shelter,CivicStructure,Shelter,Schutz,Abri,Riparo,1,additinalTypes,,,,,
,Sluice,CivicStructure,Lock,Schleuse,Écluse,Chiusa,1,additinalTypes,,,,,
,Street,CivicStructure,Street,Strasse,Rue,Via,1,additinalTypes,,,,,
,TaxiStand,CivicStructure,Taxi Stand,Taxistand,Station de taxi,Posteggio dei taxi,1,additinalTypes,,,,,
,Theatre,CivicStructure,Theatre,Theater,Théâtre,Teatro,1,additinalTypes,,,,,
,TouristAttraction,CivicStructure,Tourist Attraction,Touristenattraktion,Attraction touristique,Attrazione turistica,1,additinalTypes,,,,,
,Bisse,CivicStructure,Bisse,Bisse,Bisse,Bisse,1,additinalTypes,,,,,
,Bridge,CivicStructure,Bridge,Brücke,Pont,Ponte,1,additinalTypes,,,,,
,Castle,CivicStructure,Castle,Schloss,Château,Castello,1,additinalTypes,,,,,
,Fortress,CivicStructure,Fortress,Festung,Forteresse,Fortezza,1,additinalTypes,,,,,
,Fountain,CivicStructure,Fountain,Brunnen,Fontaine,Fontana,1,additinalTypes,,,,,
,IndustrialMonument,CivicStructure,Industrial Monument,Industriedenkmal,Monument industriel,Monumento industriale,1,additinalTypes,,,,,
,Monument,CivicStructure,Monument,Denkmal,Monument,Monumento,1,additinalTypes,,,,,
,NaturalMonument,CivicStructure,Natural Monument,Naturdenkmal,Monument naturel,Monumento naturale,1,additinalTypes,,,,,
,ObservationTower,CivicStructure,Observation Tower,Aussichtsturm,Tour d'observation,Torre di osservazione,1,additinalTypes,,,,,
,Park,CivicStructure,Park,Park,Parc,Parco,1,additinalTypes,,,,,
,Ruin,CivicStructure,Ruin,Ruine,Ruine,Rovina,1,additinalTypes,,,,,
,Square,CivicStructure,Town Square,Dorfplatz,Place de village,Piazza,1,additinalTypes,,,,,
,StalactiteCave,CivicStructure,Stalactite Cave,Tropfsteinhöhle,Grotte de stalactites et stalagmites,Grotta con stalattiti e stalagmiti,1,additinalTypes,,,,,
,Viewpoint,CivicStructure,Viewpoint,Aussichtspunkt,Point de vue,Belvedere,1,additinalTypes,,,,,
,WaysideShrine,CivicStructure,Wayside Shrine,Bildstock,Calvaire,Edicola,1,additinalTypes,,,,,
,TransportationSystemStation,CivicStructure,Transportsystem station,Transportsystemstation,Station du système de transport,Stazione del sistema di trasporto,1,additinalTypes,,,,,
,BusStation,CivicStructure,Bus Station,Busbahnhof,Gare routière,Stazione degli autobus,1,additinalTypes,,,,,
,CableCarStation,CivicStructure,Cable Car Station,Seilbahnstation,Station de téléphérique,Stazione della funivia,1,additinalTypes,,,,,
,CogwheelTrainStation,CivicStructure,Rack Railway Station,Zahnradbahnstation,Gare de train à crémaillère,Stazione dei treni a cremagliera,1,additinalTypes,,,,,
,FunicularStation,CivicStructure,Funicular station,Seilbahnstation,Station du funiculaire,Stazione della funicolare,1,additinalTypes,,,,,
,SubwayStation,CivicStructure,Subway Station,U-Bahnstation,Station de métro,Stazione della metropolitana,1,additinalTypes,,,,,
,TrainStation,CivicStructure,Train Station,Bahnhof,Gare,Stazione ferroviaria,1,additinalTypes,,,,,
,TramStation,CivicStructure,Tram Stop,Tramhaltestelle,Arrêt de tramway,Fermata del tram,1,additinalTypes,,,,,
,Vineyard,CivicStructure,Vineyard,Weinberg,Vignoble,Vigneto,1,additinalTypes,,,,,
,VisitorCenter,CivicStructure,Visitor Centre,Besucherzentrum,Centre de visiteurs,Centro visitatori,1,additinalTypes,,,,,
,WaysideCross,CivicStructure,Wayside Cross,Wegkreuz,Croix de chemin,Croce stradale,1,additinalTypes,,,,,
,Zoo,CivicStructure,Zoo,Zoo,Zoo,Zoo,1,additinalTypes,,,,,
,TransportationSystem,CivicStructure,Transportation system,Transportsystem,Système de transport,Sistema di trasporto,1,additinalTypes,,,,,
,SkiLift,TransportationSystem,Ski Lift,Skilift,Téléski,Impianto di risalita,1,additinalTypes,,,,,
,ButtonLift,TransportationSystem,Button lift,Button Lift,Button lift,Button lift,1,additinalTypes,,,,,
,CableCar,TransportationSystem,Cable car,Seilbahn,Téléphérique,Funivia,1,additinalTypes,,,,,
,ChairLift,TransportationSystem,Chair lift,Sessellift,Télésiège,Seggiovia,1,additinalTypes,,,,,
,Funicular,TransportationSystem,Funicular,Standseilbahn,Funiculaire,Funicolare,1,additinalTypes,,,,,
,MagicCarpet,TransportationSystem,Magic carpet,Förderband,Tapis roulant,Nastro trasportatore,1,additinalTypes,,,,,
,PracticeLift,TransportationSystem,Practice lift,Übungslift,Practice lift,Practice lift,1,additinalTypes,,,,,
,RackRailway,TransportationSystem,Rack Railway,Zahnradbahn,Chemin de fer à crémaillère,Ferrovia a cremagliera,1,additinalTypes,,,,,
,RopeTow,TransportationSystem,Rope tow,Schleppseil,Corde de remorquage,Fune da traino,1,additinalTypes,,,,,
,TBarLift,TransportationSystem,Drag Lift,Schlepplift,Remonte-pente,Sollevatore con barra a T,1,additinalTypes,,,,,
,Condition,Place,Condition,Bedingung,Condition,Condizione,1,additinalTypes,,,,,
,Closure,Condition,Closure,Schliessung,Fermeture,Chiusura,1,additinalTypes,,,,,
,CurrentCondition,Condition,Current Condition,Derzeitige Zustand,État actuel,Condizioni attuali,1,additinalTypes,,,,,
,Notice,Condition,Notice,Notiz,Remarquer,Avviso,1,additinalTypes,,,,,
,LocalBusiness,Place,Leisure/Service,Freizeit/Dienstleistung,Loisirs/services,Tempo libero/servizio,1,additinalTypes,,,,,
,FoodEstablishment,LocalBusiness,Gastronomy,Gastronomie,Gastronomie,Gastronomia,1,additinalTypes,,,,,
,Bakery,FoodEstablishment,Bakery,Bäckerei,Boulangerie,Panetteria,1,additinalTypes,,,,,
,BarOrPub,FoodEstablishment,Bar,Bar,Bar,Bar,1,additinalTypes,,,,,
,BeerGarden,FoodEstablishment,Beer Garden,Biergarten,Brasserie en plein air,Birreria all'aperto,1,additinalTypes,,,,,
,Bistro,FoodEstablishment,Bistro,Bistro,Bistro,Bistro,1,additinalTypes,,,,,
,Brewery,FoodEstablishment,Brewery,Brauerei,Brasserie,Birrificio,1,additinalTypes,,,,,
,CafeOrCoffeeShop,FoodEstablishment,Coffee Shop,Café,Café,Caffetteria,1,additinalTypes,,,,,
,Confectionery,FoodEstablishment,Patisserie,Konditorei,Pâtisserie,Confetteria,1,additinalTypes,,,,,
,Dairy,FoodEstablishment,Dairy,Molkerei,Laiterie,Caseificio,1,additinalTypes,,,,,
,Distillery,FoodEstablishment,Distillery,Brennerei,Distillerie,Distilleria,1,additinalTypes,,,,,
,FastFoodRestaurant,FoodEstablishment,Fast Food Restaurant,Fast-Food-Restaurant,Fast food,Ristorante fast food,1,additinalTypes,,,,,
,Grotto,FoodEstablishment,Grotto,Grotto,Grotte,Grotta,1,additinalTypes,,,,,
,IceCreamShop,FoodEstablishment,Ice Cream Shop,Eisdiele,Magasin de crème glacée,Gelateria,1,additinalTypes,,,,,
,Imbiss,FoodEstablishment,Snack Stand,Imbissstand,Stand de restauration rapide,Chiosco di street food,1,additinalTypes,,,,,
,MountainRestaurant,FoodEstablishment,Mountain Restaurant,Bergrestaurant,Restaurant de montagne,Ristorante di montagna,1,additinalTypes,,,,,
,Pizzeria,FoodEstablishment,Pizzeria,Pizzeria,Pizzeria,Pizzeria,1,additinalTypes,,,,,
,Restaurant,FoodEstablishment,Restaurant,Restaurant,Restaurant,Ristorante,1,additinalTypes,,,,,
,TakeAway,FoodEstablishment,Takeaway,Take-away,À emporter,Takeaway,1,additinalTypes,,,,,
,Vinotheque,FoodEstablishment,Wine Store,Vinothek,Vinothèque,Enoteca,1,additinalTypes,,,,,
,Winery,FoodEstablishment,Winery,Weingut,Établissement vinicole,Cantina,1,additinalTypes,,,,,
,AnimalShelter,LocalBusiness,Animal Shelter,Tierheim,Refuge pour animaux,Rifugio per animali,1,additinalTypes,,,,,
,AutomotiveBusiness,LocalBusiness,Automotive business,Automobilgeschäft,Entreprise automobile,Affari automobilistici,1,additinalTypes,,,,,
,AutoDealer,LocalBusiness,Auto Dealer,Autohändler,Concessionnaire automobile,Concessionario auto,1,additinalTypes,,,,,
,AutoRental,LocalBusiness,Car Rental,Autovermietung,Location de voitures,Noleggio auto,1,additinalTypes,,,,,
,AutoRepair,LocalBusiness,Auto Repair,Autoreparatur,Réparation automobile,Riparazione auto,1,additinalTypes,,,,,
,GasStation,LocalBusiness,Fuel Station,Tankstelle,Station-service,Benzinaio,1,additinalTypes,,,,,
,MotorcycleDealer,LocalBusiness,Motorcycle Dealer,Motorradhändler,Concessionnaire de motos,Concessionario moto,1,additinalTypes,,,,,
,MotorcycleRepair,LocalBusiness,Motorcycle Repair,Motorrad Reparatur,Réparation de moto,Riparazione Moto,1,additinalTypes,,,,,
,BikeSchool,LocalBusiness,Bike School,Bikeschule,École de vélo,Scuola di bici,1,additinalTypes,,,,,
,ChildCare,LocalBusiness,Childcare,Kinderbetreuung,Garde d'enfants,Servizio per l'infanzia,1,additinalTypes,,,,,
,Circus,LocalBusiness,Circus,Zirkus,Cirque,Circo,1,additinalTypes,,,,,
,Corporation,LocalBusiness,Corporation,Unternehmen,Société,Società,1,additinalTypes,,,,,
,HotelGroup,LocalBusiness,Hotel group,Hotelkette,Groupe hôtelier,Gruppo alberghiero,1,additinalTypes,,,,,
,CourseOrganizer,LocalBusiness,Course Organiser,Kursveranstalter,Organisateur de cours,Organizzatore del corso,1,additinalTypes,,,,,
,DryCleaningOrLaundry,LocalBusiness,Dry Cleaning,Chemische Reinigung,Nettoyage à sec,Lavaggio a secco,1,additinalTypes,,,,,
,EChargingStation,LocalBusiness,E-charging station,E-Ladestation,Station de recharge électrique,Stazione di ricarica elettrica,1,additinalTypes,,,,,
,EBikeChargingStation,LocalBusiness,E-bike charging station,E-bike Ladestation,Station de recharge pour vélos électriques,Stazione di ricarica per biciclette elettriche,1,additinalTypes,,,,,
,ECarChargingStation,LocalBusiness,E-car charging station,E-auto Ladestation,Station de recharge pour voitures électriques,Stazione di ricarica per auto elettriche,1,additinalTypes,,,,,
,EmergencyService,LocalBusiness,Emergency Service,Notdienst,Service d’urgence,Servizio di emergenza,1,additinalTypes,,,,,
,EmploymentAgency,LocalBusiness,Employment Agency,Arbeitsvermittlung,Agence de placement,Servizio di collocamento,1,additinalTypes,,,,,
,EntertainmentBusiness,LocalBusiness,Various Providers,Diverse Anbieter,Prestataire divers,Diversi fornitori,1,additinalTypes,,,,,
,AdultEntertainment,LocalBusiness,Adult Entertainment,Unterhaltung für Erwachsene,Divertissement pour adultes,Intrattenimento per adulti,1,additinalTypes,,,,,
,AmusementPark,LocalBusiness,Amusement Park,Freizeitpark,Parc d'attraction,Parco divertimenti,1,additinalTypes,,,,,
,ArtGallery,LocalBusiness,Art Gallery,Kunstgalerie,Galerie d'art,Galleria d'arte,1,additinalTypes,,,,,
