id,label,parent,label.en_US,label.de_CH,label.fr_FR,label.it_IT,enabled,type,attributes,attribute_as_label,attribute_as_image,attribute_requirements.ecommerce,Duplicate
,Casino,LocalBusiness,Casino,Casino,Casino,Casinò,1,additinalTypes,,,,,
,Cinema,LocalBusiness,Cinema,Kino,Cinéma,Cinema,1,additinalTypes,,,,,
,ComedyClub,LocalBusiness,Comedy Club,Comedy-Club,Club de comédie,Comedy club,1,additinalTypes,,,,,
,DancePlace,LocalBusiness,Dance Place,Tanzplatz,Lieu de danse,Luogo di danza,1,additinalTypes,,,,,
,EscapeRoom,LocalBusiness,Escape Room,Escape Room,Escape Room,Escape Room,1,additinalTypes,,,,,
,NightClub,LocalBusiness,Night Club,Nachtclub,Boîte de nuit,Discoteca,1,additinalTypes,,,,,
,FinancialService,LocalBusiness,Financial Service,Finanzdienstleistung,Services financiers,Servizi finanziari,1,additinalTypes,,,,,
,GovernmentOffice,LocalBusiness,Local Authority,Gemeindeverwaltung,Bureau du gouvernement,Ufficio governativo,1,additinalTypes,,,,,
,PostOffice,LocalBusiness,Post Office,Postfiliale,Bureau de poste,Ufficio postale,1,additinalTypes,,,,,
,HealthAndBeautyBusiness,LocalBusiness,Wellness and Beauty Salon,Wellness- und Kosmetiksalon,Salon de bien-être et de beauté,Salone di bellezza e benessere,1,additinalTypes,,,,,
,DaySpa,LocalBusiness,Day Spa,Spa,Spa,Spa,1,additinalTypes,,,,,
,HairSalon,LocalBusiness,Hair Salon,Coiffeur,Coiffeur,Parrucchiere,1,additinalTypes,,,,,
,HealthClub,LocalBusiness,Health Club,Gesundheitsclub,Club de santé,Centro benessere,1,additinalTypes,,,,,
,NailSalon,LocalBusiness,NailSalon,Nagelstudio,NailSalon,NailSalon,1,additinalTypes,,,,,
,Solarium,LocalBusiness,Solarium,Solarium,Solarium,Solarium,1,additinalTypes,,,,,
,HomeAndConstructionBusiness,LocalBusiness,Craft business,Handwerksbetrieb,Entreprise artisanale,Impresa artigianale,1,additinalTypes,,,,,
,LegalService,LocalBusiness,Legal Service,Juristische Dienstleistung,Service juridique,Servizio giuridico,1,additinalTypes,,,,,
,Library,LocalBusiness,Library,Bibliothek,Bibliothèque,Biblioteca,1,additinalTypes,,,,,
,MedicalBusiness,LocalBusiness,Medical Facility,Medizinische Einrichtung,Institution médicale,Struttura medica,1,additinalTypes,,,,,
,Dentist,LocalBusiness,Dentist,Zahnarzt,Dentiste,Dentista,1,additinalTypes,,,,,
,Doctor,LocalBusiness,Doctor,Arzt,Médecin,Dottore,1,additinalTypes,,,,,
,MedicalClinic,LocalBusiness,Hospital,Krankenhaus,Hôpital,Clinica medica,1,additinalTypes,,,,,
,Pharmacy,LocalBusiness,Pharmacy,Apotheke,Pharmacie,Farmacia,1,additinalTypes,,,,,
,MountainSchool,LocalBusiness,Mountain School,Bergschule,École de montagne,Scuola di montagna,1,additinalTypes,,,,,
,ProfessionalService,LocalBusiness,Professional Service,Professioneller Service,Service professionnel,Servizio professionale,1,additinalTypes,,,,,
,Railway,LocalBusiness,Railway,Eisenbahn,Chemin de fer,Ferrovia,1,additinalTypes,,,,,
,RetirementAndNursingHome,LocalBusiness,Retirement and Nursing Home,Alters- und Pflegeheim,Maison de retraite et de soins infirmiers,Casa di riposo e di cura,1,additinalTypes,,,,,
,Sauna,LocalBusiness,Sauna,Sauna,Sauna,Sauna,1,additinalTypes,,,,,
,ShoppingCenter,LocalBusiness,Shopping Center,Einkaufszentrum,Centre commercial,Centro commerciale,1,additinalTypes,,,,,
,SkiSchool,LocalBusiness,Ski School,Skischule,École de ski,Scuola sci,1,additinalTypes,,,,,
,SportsActivityLocation,LocalBusiness,Sports Facility,Sportanlage,Installation sportive,Impianto sportivo,1,additinalTypes,,,,,
,AdventurePoolOrAquaPark,LocalBusiness,Aqua Park,Wasserpark,Parc aquatique,Parco acquatico,1,additinalTypes,,,,,
,BikePark,LocalBusiness,Bike Park,Bikepark,Parc à vélos,Parco biciclette,1,additinalTypes,,,,,
,Billard,LocalBusiness,Billards,Billard,Billard,Billardo,1,additinalTypes,,,,,
,BMXFacility,LocalBusiness,BMX-Facility,BMX-Anlage,Installation de BMX,Struttura per BMX,1,additinalTypes,,,,,
,BocciaField,LocalBusiness,Boccia Court,Boccia-Feld,Terrain de boccia,Campo di bocce,1,additinalTypes,,,,,
,BowlingAlley,LocalBusiness,Bowling Alley,Bowling,Bowling,Bowling,1,additinalTypes,,,,,
,BungeejumpingPlace,LocalBusiness,Bungee-jumping Place,Bungee-Jumping-Platz,Lieu de saut à l`élastique,Luogo di bungee jumping,1,additinalTypes,,,,,
,ClimbingGarden,LocalBusiness,Climbing Garden,Klettergarten,Jardin d'escalade,Giardino di arrampicata,1,additinalTypes,,,,,
,ClimbingHall,LocalBusiness,Climbing Hall,Kletterhalle,Salle d'escalade,Sala arrampicata,1,additinalTypes,,,,,
,CrosscountryCenter,LocalBusiness,Cross-country Ski Centre,Langlaufzentrum,Centre de ski de fond,Centro sci di fondo,1,additinalTypes,,,,,
,ExerciseGym,LocalBusiness,Gym,Fitnessstudio,Salle de fitness,Palestra,1,additinalTypes,,,,,
,FitnessParkour,LocalBusiness,Fitness Parkour,Fitness-Parkour,Parcours de fitness,Percorso fitness,1,additinalTypes,,,,,
,FlightSchool,LocalBusiness,Flight School,Flugschule,École d'aviation,Scuola di volo,1,additinalTypes,,,,,
,GoKartTrack,LocalBusiness,Kart Track,Kartbahn,Piste de karting,Pista di kart,1,additinalTypes,,,,,
,GolfCourse,LocalBusiness,Golf Course,Golfplatz,Terrain de golf,Campo da golf,1,additinalTypes,,,,,
,HighRopesCourse,LocalBusiness,Highropes Course,Hochseilgarten,Parcours d'accrobranche,percorso ad alta fune,1,additinalTypes,,,,,
,IceField,LocalBusiness,Ice Rink,Eisfeld,Patinoire,Pista di pattinaggio sul ghiaccio,1,additinalTypes,,,,,
,MinigolfCourse,LocalBusiness,Miniature Golf Course,Minigolfanlage,Parcours de minigolf,Campo da minigolf,1,additinalTypes,,,,,
,ParaglidingSite,LocalBusiness,Paragliding Site,Gleitschirmflugplatz,Terrain de parapente,Campo di parapendio,1,additinalTypes,,,,,
,PublicSwimmingPool,LocalBusiness,Outdoor Pool,Freibad,Piscine publique,Piscina pubblica,1,additinalTypes,,,,,
,IndoorPool,LocalBusiness,Indoor Swimming Pool,Hallenbad,Piscine couverte,Piscina coperta,1,additinalTypes,,,,,
,OutdoorPool,LocalBusiness,Outdoor Pool,Aussenpool,Piscine extérieure,Piscina all'aperto,1,additinalTypes,,,,,
,PumpTrack,LocalBusiness,Pump Track,Pumptrack,Pumptrack,Pumptrack,1,additinalTypes,,,,,
,Ropepark,LocalBusiness,Rope park,Seilpark,Parc accrobranche,Parco avventura,1,additinalTypes,,,,,
,SkatingRink,LocalBusiness,Skating Rink,Eisbahn,Patinoire,Pista di pattinaggio,1,additinalTypes,,,,,
,SkiJumpPlace,LocalBusiness,Ski Jump Place,Skischanzenplatz,Place de saut à ski,Posto per il salto con gli sci,1,additinalTypes,,,,,
,SnowPark,LocalBusiness,Snow Park,Schneepark,Parc à neige,Parco neve,1,additinalTypes,,,,,
,SportHall,LocalBusiness,Sport Hall,Sporthalle,Salle de sport,Palazzetto dello sport,1,additinalTypes,,,,,
,SportsClub,LocalBusiness,Sports Club,Sportclub,Club sportif,Club sportivo,1,additinalTypes,,,,,
,StadiumOrArena,LocalBusiness,Stadium/Arena,Stadion/Arena,Stade/arène,Stadio/arena,1,additinalTypes,,,,,
,SummerTobogganTrack,LocalBusiness,Summer Toboggan Track,Sommerrodelbahn,Piste de luge d'été,Pista estiva per slittini,1,additinalTypes,,,,,
,TennisComplex,LocalBusiness,Tennis Facility,Tennisanlage,Centre de tennis,Impianto di tennis,1,additinalTypes,,,,,
,VolleyballPlace,LocalBusiness,Volleyball Field,Volleyballfeld,Terrain de volley-ball,Campo da pallavolo,1,additinalTypes,,,,,
,WinterTobogganTrack,LocalBusiness,Winter Toboggan Track,Winterrodelbahn,Piste de luge d'hiver,Pista invernale per slittini,1,additinalTypes,,,,,
,YachtClub,LocalBusiness,Yacht Club,Jachtclub,Club nautique,Yatch club,1,additinalTypes,,,,,
,Store,LocalBusiness,Store,Geschäft,Boutique,Negozio,1,additinalTypes,,,,,
,AutoPartsStore,LocalBusiness,Auto Parts Store,Autoteile-Shop,Magasin de pièces automobiles,Negozio ricambi auto,1,additinalTypes,,,,,
,BikeRental,LocalBusiness,Bike Rental,Fahrradverleih,Location de vélos,Noleggio biciclette,1,additinalTypes,,,,,
,BikeService,LocalBusiness,Bike Service,Fahrradservice,Service de vélos,Servizio di assistenza per biciclette,1,additinalTypes,,,,,
,BikeStore,LocalBusiness,Bike Store,Bike-Shop,Magasin de vélos,Negozio di biciclette,1,additinalTypes,,,,,
,BookStore,LocalBusiness,Book Store,Buchhandlung,Librairie,Negozio di libri,1,additinalTypes,,,,,
,ButcherShop,LocalBusiness,Butcher Shop,Metzgerei,Boucherie,Macelleria,1,additinalTypes,,,,,
,ClothingStore,LocalBusiness,Clothing Store,Bekleidungsgeschäft,Magasin de vêtements,Negozio di abbigliamento,1,additinalTypes,,,,,
,ComputerStore,LocalBusiness,Computer Store,Computergeschäft,Magasin d'informatique,Negozio di computer,1,additinalTypes,,,,,
,ConvenienceStore,LocalBusiness,Convenience Store,Gemischtwarenladen,Épicerie,Minimarket,1,additinalTypes,,,,,
,DepartmentStore,LocalBusiness,Department Store,Warenhaus,Grand magasin,Grande magazzino,1,additinalTypes,,,,,
,EBikeService,LocalBusiness,E-Bike Service,E-Bike-Service,Service pour vélos électriques,Servizio e-bike,1,additinalTypes,,,,,
,ElectronicsStore,LocalBusiness,Electronics Store,Elektrofachgeschäft,Magasin d'électronique,Negozio di elettronica,1,additinalTypes,,,,,
,FarmShop,LocalBusiness,Farm Shop,Hofladen,Boutique à la ferme,Spaccio aziendale,1,additinalTypes,,,,,
,Florist,LocalBusiness,Florist,Florist,Fleuriste,Fiorista,1,additinalTypes,,,,,
,FurnitureStore,LocalBusiness,Furniture Store,Möbelgeschäft,Magasin de meubles,Negozio di mobili,1,additinalTypes,,,,,
,GardenStore,LocalBusiness,Garden Store,Gartengeschäft,Magasin de jardinage,Negozio di giardinaggio,1,additinalTypes,,,,,
,GroceryStore,LocalBusiness,Grocery Store,Supermarkt,Supermarché,Supermercato,1,additinalTypes,,,,,
,HardwareStore,LocalBusiness,Hardware Store,Baumarkt,Magasin de bricolage,Negozio di bricolage,1,additinalTypes,,,,,
,HobbyShop,LocalBusiness,Hobby Shop,Hobbyladen,Boutique de loisirs,Negozio di hobby,1,additinalTypes,,,,,
,HomeGoodsStore,LocalBusiness,Home Goods Store,Haushaltswarenladen,Magasin d'articles ménagers,Negozio di casalinghi,1,additinalTypes,,,,,
,ITFirm,LocalBusiness,IT Firm,IT-Firma,Entreprise informatique,Azienda IT,1,additinalTypes,,,,,
,JewelryStore,LocalBusiness,Jeweller,Juwelier,Bijouterie,Gioielleria,1,additinalTypes,,,,,
,Kiosk,LocalBusiness,Kiosk,Kiosk,Kiosque,Chiosco,1,additinalTypes,,,,,
,LiquorStore,LocalBusiness,Liquor Store,Spirituosengeschäft,Magasin d’alcool,Negozio di liquori,1,additinalTypes,,,,,
,MensClothingStore,LocalBusiness,Men's Clothing Store,Bekleidungsgeschäft für Herren,Magasin de vêtements pour hommes,Negozio di abbigliamento maschile,1,additinalTypes,,,,,
,MobilePhoneStore,LocalBusiness,Mobile Phone Store,Mobiltelefongeschäft,Magasin de téléphonie mobile,Negozio di telefoni cellulari,1,additinalTypes,,,,,
,MovieRentalStore,LocalBusiness,Movie Rental Store,Filmverleih,Magasin de location de films,Negozio di noleggio film,1,additinalTypes,,,,,
,MusicStore,LocalBusiness,Music Store,Musikgeschäft,Magasin de musique,Negozio di musica,1,additinalTypes,,,,,
,OfficeEquipmentStore,LocalBusiness,Stationery Store,Papeterie,Papeterie,Cartoleria,1,additinalTypes,,,,,
,Opticians,LocalBusiness,Opticians,Optiker,Opticien,Ottico,1,additinalTypes,,,,,
,OutletStore,LocalBusiness,Outlet Store,Outlet,Magasin d'usine,Negozio outlet,1,additinalTypes,,,,,
,Perfumery,LocalBusiness,Perfumery,Parfümerie,Parfumerie,Profumeria,1,additinalTypes,,,,,
,Smith,LocalBusiness,Smith,Schmied,Forgeronne,Fabbro,1,additinalTypes,,,,,
,SnowsportRental,LocalBusiness,Snowsport Rental,Schneesportverleih,Location de sports de neige,Noleggio sport sulla neve,1,additinalTypes,,,,,
,SportingGoodsStore,LocalBusiness,Sports Shop,Sportgeschäft,Magasin de sport,Negozio di sport,1,additinalTypes,,,,,
,TobaccoShop,LocalBusiness,Tobacco Shop,Tabak Laden,Boutique de tabac,Tabaccheria,1,additinalTypes,,,,,
,WatersportRental,LocalBusiness,Watersport Rental,Wassersportverleih,Location de sports nautiques,Noleggio di sport acquatici,1,additinalTypes,,,,,
,WholesaleStore,LocalBusiness,Wholesale Store,Grosshandelsgeschäft,Magasin de gros,Negozio all'ingrosso,1,additinalTypes,,,,,
,ThermalSpa,LocalBusiness,Thermal Spa,Therme,Thermes,Terme,1,additinalTypes,,,,,
,TouristInformationCenter,LocalBusiness,Tourist Information Center,Gäste-Informationsstelle,Centre d'informations touristiques,Centro informazioni turistiche,1,additinalTypes,,,,,
,TravelAgency,LocalBusiness,Travel Agency,Reisebüro,Agence de voyages,Ufficio viaggi,1,additinalTypes,,,,,
,YouthClub,LocalBusiness,Youth Club,Jugendtreff,Club de jeunesse,Circolo giovanile,1,additinalTypes,,,,,
,LodgingBusiness,LocalBusiness,Accommodation Establishment,Beherbergungsbetrieb,Service d'hébergement,Attività ricettiva,1,additinalTypes,,,,,
,Agrotourism,LodgingBusiness,Agrotourism,Agrotourismus,Agrotourisme,Agriturismo,1,additinalTypes,,,,,
,BedAndBreakfast,LodgingBusiness,Bed and Breakfast,Bed and Breakfast,Chambre d'hôtes,Bed and breakfast,1,additinalTypes,,,,,
,Campground,LodgingBusiness,Camping Ground,Campingplatz,Camping,Campeggio,1,additinalTypes,,,,,
,FarmLodging,LodgingBusiness,Farm Accommodation,Unterkunft auf dem Bauernhof,Hébergement à la ferme,Alloggio in fattoria,1,additinalTypes,,,,,
,GroupAccommodation,LodgingBusiness,Group Accommodation,Gruppenunterkunft,Hébergement de groupe,Alloggio per gruppi,1,additinalTypes,,,,,
,GuestHouse,LodgingBusiness,Guest House,Gasthaus,Maison d'hôtes,Affittacamere,1,additinalTypes,,,,,
,HolidayApartment,LodgingBusiness,Holiday Apartment,Ferienwohnung,Appartement de vacances,Appartamento vacanze,1,additinalTypes,,,,,
,HolidayHouse,LodgingBusiness,Holiday House,Ferienhaus,Maison de vacances,Casa vacanze,1,additinalTypes,,,,,
,Hostel,LodgingBusiness,Hostel,Herberge,Auberge,Ostello,1,additinalTypes,,,,,
,Hotel,LodgingBusiness,Hotel,Hotel,Hôtel,Albergo,1,additinalTypes,,,,,
,IglooVillage,LodgingBusiness,Igloo Village,Iglu-Dorf,Village d'igloos,Villaggio di igloo,1,additinalTypes,,,,,
,Motel,LodgingBusiness,Motel,Motel,Motel,Motel,1,additinalTypes,,,,,
,Mountainhut,LodgingBusiness,Mountain Hut,Berghütte,Refuge de montagne,Rifugio di montagna,1,additinalTypes,,,,,
,ManagedHut,LodgingBusiness,Catered Hut,Bewirtschaftete Hütte,Auberge de montagne,Rifugio gestito,1,additinalTypes,,,,,
,RescueHut,LodgingBusiness,Rescue Hut,Rettungshütte,Cabane de sauvetage,Capanna di salvataggio,1,additinalTypes,,,,,
,SelfCateredHut,LodgingBusiness,Self-catering Hut,Selbstversorgerhütte,Cabane en autonomie,Rifugio con uso cucina,1,additinalTypes,,,,,
,Pension,LodgingBusiness,Guesthouse,Pension,Pension,Pensione,1,additinalTypes,,,,,
,Pitch,LodgingBusiness,Pitch,Stellplatz,Place de parking,Parcheggio,1,additinalTypes,,,,,
,PrivateRoom,LodgingBusiness,Guest Room,Gästezimmer,Chambre,Camera per gli ospiti,1,additinalTypes,,,,,
,Resort,LodgingBusiness,Resort,Resort,Complexe touristique,Resort,1,additinalTypes,,,,,
,SkiResort,LocalBusiness,Ski Resort,Skigebiet,Station de ski,Area sciistica,1,additinalTypes,,,,,
,ArchaeologicalSite,Place,Archaeological Site,Archäologische Fundstätte,Site archéologique,Sito archeologico,1,additinalTypes,,,,,
,Fauna,Place,Fauna,Fauna,Faune,Fauna,1,additinalTypes,,,,,
,Flora,Place,Flora,Flora,Flore,Flora,1,additinalTypes,,,,,
,HistoricSite,Place,Historical Site,Historische Stätte,Site historique,Sito storico,1,additinalTypes,,,,,
,Landform,Place,Landscape,Landschaft,Paysage,Paesaggio,1,additinalTypes,,,,,
,AlpsPass,Place,Alpine Pass,Alpenpass,Col des alpes,Passo alpino,1,additinalTypes,,,,,
,BodyOfWater,Place,Body of water,Gewässer,Plan d’eau,Specchio d'acqua,1,additinalTypes,,,,,
,Canal,Place,Canal,Kanal,Canal,Canale,1,additinalTypes,,,,,
,LakeBodyOfWater,Place,Lake,See,Lac,Lago,1,additinalTypes,,,,,
,Moor,Place,Moor,Moor,Marais,Torbiera,1,additinalTypes,,,,,
,OceanBodyOfWater,Place,Ocean,Ozean,Océan,Oceano,1,additinalTypes,,,,,
,Pond,Place,Pond,Teich,Étang,Stagno,1,additinalTypes,,,,,
,Reservoir,Place,Reservoir,Reservoir,Réservoir,Serbatoio,1,additinalTypes,,,,,
,RiverBodyOfWater,Place,River,Fluss,Cours d'eau,Fiume,1,additinalTypes,,,,,
,SeaBodyOfWater,Place,Sea,Meer,Mer,Mare,1,additinalTypes,,,,,
,Spring,Place,Spring,Frühling,Source,Primavera,1,additinalTypes,,,,,
,Waterfall,Place,Waterfall,Wasserfall,Cascade,Cascata,1,additinalTypes,,,,,
,Canyon,Place,Canyon,Schlucht,Gorge,Gola,1,additinalTypes,,,,,
,Continent,Place,Continent,Kontinent,Continent,Continente,1,additinalTypes,,,,,
,Island,Place,Island,Insel,Île,Isola,1,additinalTypes,,,,,
,Mountain,Place,Mountain,Berg,Montagne,Montagna,1,additinalTypes,,,,,
,MountainPeak,Place,Mountain Summit,Berggipfel,Sommet de montagne,Cima di montagna,1,additinalTypes,,,,,
,Volcano,Place,Volcano,Vulkan,Volcan,Vulcano,1,additinalTypes,,,,,
,LandmarkOrHistoricalBuilding,Place,Attraction,Sehenswürdigkeit,Site touristique,Luogo di interesse,1,additinalTypes,,,,,
,TownScape,Place,town scape,OrtsBild,paysage urbain,paesaggio urbano,1,additinalTypes,,,,,
,Tour,Place,Tour,Tour,Tour,Tour,1,additinalTypes,,,,,
,Longdistance,Tour,Long-distance Tour,Langstreckentour,Tour longue distance,Tour a lunga distanza,1,additinalTypes,,,,,
,Route,Tour,Route,Route,Route,Percorso,1,additinalTypes,,,,,
,GlacierTour,Tour,Glacier Tour,Gletschertour,Excursion sur glacier,Escursione sul ghiacciaio,1,additinalTypes,,,,,
,HighTour,Tour,Alpine Tour,Hochtour,Tour en haute montagne,Tour alpino,1,additinalTypes,,,,,
,MotorisedTours,Tour,Motorised Tour,Motorisierte Tour,Circuit motorisés,Tour motorizzato,1,additinalTypes,,,,,
,BusTour,Tour,Bus Tour,Bus-Tour,Tour en bus,Tour in autobus,1,additinalTypes,,,,,
,CarTour,Tour,Car Tour,Autotour,Tour en voiture,Tour in auto,1,additinalTypes,,,,,
,MotorTour,Tour,E-Mountain Bike Tour,E-Mountainbike-Tour,Tour en VTT électrique,Tour in e-mountain bike,1,additinalTypes,,,,,
,QuadTour,Tour,Quad Tour,Quad-Tour,Tour en quad,Tour in quad,1,additinalTypes,,,,,
,SegwayTour,Tour,Segway Tour,Segway-Tour,Tour en segway,Tour in segway,1,additinalTypes,,,,,
,ShipTour,Tour,Boat Trip,Schiffstour,Tour en bateau,Tour in barca,1,additinalTypes,,,,,
,TrainTour,Tour,Train Tour,Zugtour,Tour en train,Tour in treno,1,additinalTypes,,,,,
,ThemeTrail,Tour,Theme Trail,Themenweg,Sentier thématique,Percorso tematico,1,additinalTypes,,,,,
,ViaFerrata,Tour,Via Ferrata,Klettersteig,Via ferrata,Via ferrata,1,additinalTypes,,,,,
,Way,Tour,Way,Weg,Route,Tour,1,additinalTypes,,,,,
,BikeTrail,Tour,Bike trail,Bike Trail,Bike trail,Bike trail,1,additinalTypes,,,,,
,CrossCountry,Tour,Crosscountry slope,Langlaufloipe,Piste de ski de fond,Pista da fondo,1,additinalTypes,,,,,
,HikingTrail,Tour,Hiking trail,Wanderweg,Sentiers de randonnée,Sentiero,1,additinalTypes,,,,,
,NatureTrail,Tour,Nature Trail,Naturlehrpfad,Sentier nature,Sentiero natura,1,additinalTypes,,,,,
,SkiRoute,Tour,Ski routes,Tourenski Route,Ski routes,Ski routes,1,additinalTypes,,,,,
,SkiSlope,Tour,Ski slope,Skipiste,Piste de ski,Pista da sci,1,additinalTypes,,,,,
,SnowshoeTrail,Tour,Snowshoe trail,Schneeschuhwanderweg,Sentier de randonnée en raquettes,Sentiero per ciaspolate,1,additinalTypes,,,,,
,TobogganRun,Tour,Toboggan run,Schlittelpiste,Piste de luge,Pista per slittini,1,additinalTypes,,,,,
,WinterHiking,Tour,Winterhiking trail,Winterwanderweg,Sentier de randonnée hivernale,Sentiero escursionistico invernale,1,additinalTypes,,,,,
,Webcam,Place,Webcam,Webcam,Webcam,Webcam,1,additinalTypes,,,,,
,LiveVideo,Webcam,Live Video,Live-Video,Vidéo en direct,Video in diretta,1,additinalTypes,,,,,
,StaticWebcam,Webcam,Static Webcam,Statische Webcam,Webcam statique,Webcam statica,1,additinalTypes,,,,,
,WebLink,Webcam,WebLink,WebLink,WebLink,WebLink,1,additinalTypes,,,,,
,Product,,Product,Produkt,Produit,Prodotto,1,additinalTypes,,,,,
,Adventure,Product,Adventure,Abenteuer,Aventure,Avventura,1,additinalTypes,,,,,
,ApartmentOffer,Product,Apartment offer,Wohnung Angebot,Appartement offre,Offerta Appartamento,1,additinalTypes,,,,,
,Beverage,Product,Beverage,Getränk,Boisson,Bevanda,1,additinalTypes,,,,,
,CampingPitchOffer,Product,CampingPitch offer,CampingStellplatz Angebot,Offre Emplacement Camping,Offerta Piazzola Campeggio,1,additinalTypes,,,,,
,CityTour,Product,City Tour,Stadtrundfahrt,Visite de la ville,Tour della città,1,additinalTypes,,,,,
,Course,Product,Course,Kurs,Cours,Corso,1,additinalTypes,,,,,
,CrossCountryTicket,Product,Cross-country ski pass,Langlaufpass,Forfait de ski de fond,Skipass per lo sci di fondo,1,additinalTypes,,,,,
,Donation,Product,Donation,Spende,Don,Donazione,1,additinalTypes,,,,,
,EventTicket,Product,Event Ticket,Veranstaltungs-Ticket,Billet d'événement,Biglietto evento,1,additinalTypes,,,,,
,Experience,Product,Experience,Erlebnis,Expérience,Esperienza,1,additinalTypes,,,,,
,Fashion,Product,Fashion,Mode,Mode,Moda,1,additinalTypes,,,,,
,Accessoires,Product,Accessories,Accessoires,Accessoires,Accessoristica,1,additinalTypes,,,,,
,Clothing,Product,Clothing,Kleidung,Vêtement,Abbigliamento,1,additinalTypes,,,,,
,Food,Product,Food,Nahrungsmittel,Aliment,Cibo,1,additinalTypes,,,,,
,GuestCard,Product,Guest Card,Gästekarte,Carte d'hôte,Carta ospiti,1,additinalTypes,,,,,
,IndividualProduct,Product,Individual Product,Individuelles Produkt,Produit individuel,Prodotto individuale,1,additinalTypes,,,,,
,Membership,Product,Membership,Mitgliedschaft,Affiliation,Affiliazione,1,additinalTypes,,,,,
,Merchandise,Product,Merchandise,Merchandiseartikel,Article de marchandise,Articolo di merce,1,additinalTypes,,,,,
,NonFood,Product,Non-Food,Nicht-Lebensmittel,Non alimentaire,Non alimentare,1,additinalTypes,,,,,
,Offer,Product,Offer,Angebot,Offre,Offerta,1,additinalTypes,,,,,
,Package,Product,Package,Package,Package,Package,1,additinalTypes,,,,,
,ProductCollection,Product,Product Collection,Produkt-Kollektion,Collection de produits,Collezione di prodotti,1,additinalTypes,,,,,
,ProductGroup,Product,Product Group,Produktgruppe,Groupe de produits,Gruppo di prodotti,1,additinalTypes,,,,,
,Rental,Product,Rental,Verleih,Location,Noleggio,1,additinalTypes,,,,,
,RoomOffer,Product,Room offer,Zimmer Angebot,Offre de chambre,Offerta camera,1,additinalTypes,,,,,
,DormitoryOffer,Product,Dormitory offer,Mehrbettzimmer Angebot,Offre dortoir,Offerta dormitorio,1,additinalTypes,,,,,
,HotelRoomOffer,Product,Hotelroom offer,Hotelzimmer Angebot,Offre de chambre d'hôtel,Offerta camera d'albergo,1,additinalTypes,,,,,
,DoubleRoomOffer,Product,Doubleroom offer,Doppelzimmer Angebot,Offre chambre double,Offerta camera doppia,1,additinalTypes,,,,,
,FamilyRoomOffer,Product,Familyroom offer,Familienzimmer Angebot,Offre chambre familiale,Offerta camera famiglia,1,additinalTypes,,,,,
,SingleRoomOffer,Product,Singleroom offer,Einzelzimmer Angebot,Offre chambre simple,Offerta Camera Singola,1,additinalTypes,,,,,
,MeetingRoomOffer,Product,Meetingroom offer,Sitzungszimmer Angebot,Offre Salle de réunion,Offerta Meetingroom,1,additinalTypes,,,,,
,StayHelper,Product,Stay,Aufenthalt,Rester,Restare,1,additinalTypes,,,,,
,Services,Product,Services,Dienstleistungen,Services,Servizi,1,additinalTypes,,,,,
,SkiTicket,Product,Ski Ticket,Ski-Ticket,Billet de ski,Skipass,1,additinalTypes,,,,,
,SomeProducts,Product,Some Products,Einige Produkte,Quelques produits,Alcuni prodotti,1,additinalTypes,,,,,
,Sportsgood,Product,Sports Article,Sportartikel,Article de sport,Articolo sportivo,1,additinalTypes,,,,,
,SuiteOffer,Product,Suite offer,Suite Angebot,Suite offre,Suite offerta,1,additinalTypes,,,,,
,TableReservation,Product,Table reservation,Tischreservation,Réservation de table,Prenotazione tavolo,1,additinalTypes,,,,,
,Ticket,Product,Ticket,Fahrkarte,Billet,Biglietto,1,additinalTypes,,,,,
,Transport,Product,Transport,Verkehr,Transport,Trasporto,1,additinalTypes,,,,,
,Vouchers,Product,Vouchers,Gutscheine,Bons,Buoni,1,additinalTypes,,,,,
,Wellness,Product,Wellness,Wellness,Bien-être,Benessere,1,additinalTypes,,,,,
,AmenityFeature,,Amenity feature,Ausstattungsmerkmal,Caractéristique d'agrément,Funzionalità di servizio,0,additinalTypes,,,,,
,LodgingBusinessFeature,AmenityFeature,Lodging business feature,Unterkunftsausstattungsmerkmal,Fonctionnalité d'hébergement,Caratteristica aziendale di alloggio,0,additinalTypes,,,,,
,characteristics,AmenityFeature,Characteristics,Charaktereigenschaften,Caractéristiques,Caratteristiche,0,additinalTypes,,,,,
,entertainment,AmenityFeature,Entertainment and lifestyle,Unterhaltung und Lifestyle,Divertissement et style de vie,Intrattenimento e stile di vita,0,additinalTypes,,,,,
,events,AmenityFeature,Conference and events,Konferenzen und Veranstaltungen,Conférence et événements,Convegni ed eventi,0,additinalTypes,,,,,
,food,AmenityFeature,Food,Essen,Nourriture,Cibo,0,additinalTypes,,,,,
,breakfast,AmenityFeature,Breakfast,Frühstück,Petit déjeuner,Colazione,0,additinalTypes,,,,,
,general,Tag,General,Allgemein,Allgemein,Allgemein,0,additinalTypes,,,,,
,location,AmenityFeature,Location,Standort,Emplacement,Ubicazione,0,additinalTypes,,,,,
,outdoor,AmenityFeature,Outdoor facilities,Aussenanlagen,Aménagements extérieurs,Strutture all'aperto,0,additinalTypes,,,,,
,security,AmenityFeature,Safety and security,Sicherheit und Schutz,Sûreté et sécurité,Sicurezza e protezione,0,additinalTypes,,,,,
,sport,AmenityFeature,Sport and freetime,Sport und Freizeit,Sport et loisirs,Sport e tempo libero,0,additinalTypes,,,,,
